name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Trey McBride,TE,1,ARI,24.0,197.0,101.5,1.000,0.913,0.199,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kenneth Walker III,RB,3,KC,17.0,234.5,97.1,0.999,0.405,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chase Brown,RB,3,CIN,18.0,231.0,93.6,1.000,0.538,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A.J. Brown,WR,4,NE,16.0,243.0,91.9,0.999,0.288,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
De’Von Achane,RB,4,MIA,21.0,224.0,86.6,1.000,0.784,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nico Collins,WR,4,HOU,19.0,236.0,84.9,1.000,0.631,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Allen,QB,1,BUF,25.0,362.0,80.5,1.000,0.925,0.256,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drake London,WR,4,ATL,22.0,229.0,77.9,1.000,0.847,0.078,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rashee Rice,WR,4,KC,23.0,225.5,74.4,1.000,0.871,0.120,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jeremiyah Love,RB,5,ARI,31.0,206.5,69.1,1.000,0.986,0.689,0.049,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
George Pickens,WR,4,DAL,26.0,218.5,67.4,1.000,0.948,0.335,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chris Olave,WR,4,NO,27.0,218.5,67.4,1.000,0.961,0.408,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Jacobs,RB,5,GB,32.0,203.0,65.6,1.000,0.987,0.726,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Emeka Egbuka,WR,4,TB,28.0,215.0,63.9,1.000,0.970,0.486,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tetairoa McMillan,WR,4,CAR,29.0,215.0,63.9,1.000,0.979,0.551,0.025,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lamar Jackson,QB,2,BAL,33.0,344.5,63.0,1.000,0.987,0.768,0.133,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colston Loveland,TE,2,CHI,43.0,158.5,63.0,1.000,0.999,0.953,0.604,0.119,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DeVonta Smith,WR,5,PHI,30.0,211.5,60.4,1.000,0.981,0.618,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drake Maye,QB,2,NE,35.0,341.0,59.5,1.000,0.994,0.834,0.226,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tyler Warren,TE,2,IND,47.0,151.5,56.0,1.000,0.999,0.977,0.755,0.313,0.031,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tee Higgins,WR,6,CIN,34.0,204.5,53.4,1.000,0.990,0.802,0.172,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kyren Williams,RB,6,LAR,37.0,189.0,51.6,1.000,0.997,0.890,0.305,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jayden Daniels,QB,2,WAS,40.0,330.5,49.0,1.000,0.999,0.936,0.487,0.092,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Javonte Williams,RB,7,DAL,38.0,185.5,48.1,1.000,0.997,0.901,0.358,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breece Hall,RB,7,NYJ,39.0,185.5,48.1,1.000,0.999,0.927,0.417,0.059,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ladd McConkey,WR,7,LAC,36.0,197.5,46.4,1.000,0.996,0.861,0.257,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Travis Etienne Jr.,RB,8,NO,46.0,175.0,37.6,1.000,0.998,0.972,0.718,0.274,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Malik Nabers,WR,8,NYG,41.0,187.0,35.9,1.000,0.997,0.933,0.511,0.104,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Zay Flowers,WR,8,BAL,42.0,187.0,35.9,1.000,0.998,0.950,0.567,0.141,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joe Burrow,QB,3,CIN,48.0,316.5,35.0,1.000,0.999,0.983,0.783,0.400,0.056,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tucker Kraft,TE,3,GB,67.0,130.5,35.0,1.000,1.000,0.999,0.976,0.879,0.574,0.266,0.053,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jaylen Waddle,WR,9,DEN,44.0,183.5,32.4,1.000,0.999,0.959,0.646,0.208,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kyle Pitts,TE,3,ATL,72.0,127.0,31.5,1.000,1.000,0.999,0.985,0.932,0.729,0.434,0.137,0.009,0.001,0.000,0.000,0.000,0.000,0.000,0.000
Cam Skattebo,RB,9,NYG,50.0,168.0,30.6,1.000,1.000,0.988,0.820,0.449,0.065,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Davante Adams,WR,10,LAR,45.0,180.0,28.9,1.000,0.999,0.972,0.686,0.245,0.014,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Justin Herbert,QB,3,LAC,52.0,309.5,28.0,1.000,1.000,0.989,0.864,0.565,0.173,0.033,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jalen Hurts,QB,3,PHI,53.0,309.5,28.0,1.000,0.999,0.991,0.886,0.598,0.209,0.046,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sam LaPorta,TE,3,DET,78.0,120.0,24.5,1.000,1.000,1.000,0.992,0.953,0.826,0.618,0.318,0.061,0.009,0.001,0.000,0.000,0.000,0.000,0.000
Terry McLaurin,WR,11,WAS,49.0,173.0,21.9,1.000,1.000,0.981,0.798,0.398,0.063,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jameson Williams,WR,11,DET,51.0,173.0,21.9,1.000,0.999,0.988,0.856,0.490,0.093,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Caleb Williams,QB,3,CHI,61.0,302.5,21.0,1.000,1.000,0.996,0.956,0.809,0.489,0.205,0.016,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Harold Fannin Jr.,TE,3,CLE,81.0,116.5,21.0,1.000,1.000,1.000,0.993,0.967,0.859,0.670,0.389,0.107,0.020,0.004,0.001,0.000,0.000,0.000,0.000
TreVeyon Henderson,RB,10,NE,59.0,157.5,20.1,1.000,1.000,0.995,0.941,0.750,0.336,0.048,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Quinshon Judkins,RB,10,CLE,60.0,157.5,20.1,1.000,1.000,0.996,0.943,0.766,0.375,0.073,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Luther Burden III,WR,12,CHI,54.0,169.5,18.4,1.000,1.000,0.990,0.885,0.599,0.180,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Garrett Wilson,WR,12,NYJ,55.0,169.5,18.4,0.851,1.000,0.992,0.902,0.624,0.200,0.032,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
D’Andre Swift,RB,11,CHI,62.0,154.0,16.6,1.000,1.000,0.997,0.957,0.808,0.433,0.127,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bucky Irving,RB,11,TB,63.0,154.0,16.6,1.000,1.000,0.998,0.961,0.827,0.478,0.158,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
David Montgomery,RB,11,HOU,64.0,154.0,16.6,1.000,0.999,0.998,0.964,0.834,0.495,0.182,0.017,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mike Evans,WR,13,SF,56.0,166.0,14.9,0.609,0.999,0.993,0.915,0.670,0.232,0.045,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Christian Watson,WR,13,GB,57.0,166.0,14.9,0.178,1.000,0.993,0.929,0.700,0.268,0.060,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trevor Lawrence,QB,3,JAX,68.0,295.5,14.0,1.000,1.000,0.998,0.976,0.903,0.678,0.450,0.084,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rhamondre Stevenson,RB,12,NE,66.0,150.5,13.1,0.968,1.000,0.998,0.971,0.874,0.559,0.232,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rome Odunze,WR,14,CHI,58.0,162.5,11.4,0.008,1.000,0.996,0.935,0.725,0.306,0.073,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chuba Hubbard,RB,13,CAR,70.0,147.0,9.6,0.886,1.000,0.998,0.982,0.909,0.672,0.356,0.110,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tony Pollard,RB,13,TEN,71.0,147.0,9.6,0.503,1.000,0.998,0.984,0.926,0.685,0.385,0.122,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dak Prescott,QB,3,DAL,75.0,288.5,7.0,1.000,1.000,0.999,0.992,0.946,0.813,0.644,0.212,0.059,0.004,0.000,0.000,0.000,0.000,0.000,0.000
Bo Nix,QB,3,DEN,76.0,288.5,7.0,1.000,1.000,0.999,0.993,0.957,0.820,0.653,0.229,0.080,0.004,0.000,0.000,0.000,0.000,0.000,0.000
Travis Kelce,TE,4,KC,101.0,102.5,7.0,1.000,1.000,1.000,0.998,0.993,0.969,0.912,0.791,0.549,0.242,0.116,0.035,0.011,0.001,0.000,0.000
Jadarian Price,RB,14,SEA,73.0,143.5,6.1,0.041,1.000,0.999,0.988,0.928,0.722,0.432,0.178,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DJ Moore,WR,15,BUF,65.0,155.5,4.4,0.000,0.983,0.999,0.967,0.861,0.517,0.213,0.049,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brian Thomas Jr.,WR,15,JAX,69.0,155.5,4.4,0.000,0.945,1.000,0.982,0.900,0.643,0.319,0.105,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brock Purdy,QB,3,SF,79.0,285.0,3.5,1.000,1.000,0.999,0.993,0.967,0.869,0.729,0.314,0.126,0.015,0.001,0.000,0.000,0.000,0.000,0.000
Jake Ferguson,TE,4,DAL,105.0,99.0,3.5,1.000,1.000,1.000,1.000,0.996,0.976,0.930,0.836,0.646,0.386,0.199,0.070,0.029,0.005,0.002,0.001
Dalton Kincaid,TE,4,BUF,106.0,99.0,3.5,1.000,1.000,1.000,1.000,0.995,0.977,0.939,0.839,0.660,0.416,0.233,0.093,0.037,0.008,0.004,0.001
Jaylen Warren,RB,15,PIT,77.0,140.0,2.6,0.000,1.000,1.000,0.990,0.955,0.802,0.542,0.263,0.082,0.002,0.000,0.000,0.000,0.000,0.000,0.000
Seattle Seahawks,DST,1,SEA,201.0,98.0,2.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.766,0.442
Brandon Aubrey,K,1,DAL,213.0,105.0,2.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.838,0.000
Houston Texans,DST,1,HOU,202.0,97.8,2.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.773,0.541
Ka’imi Fairbairn,K,1,HOU,214.0,104.8,2.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.837,0.606
Denver Broncos,DST,1,DEN,203.0,97.5,2.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.762,0.529
Cameron Dicker,K,1,LAC,215.0,104.5,2.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.848,0.645
Los Angeles Rams,DST,1,LAR,204.0,97.2,1.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.779,0.545
Jason Myers,K,1,SEA,216.0,104.2,1.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.849,0.655
Philadelphia Eagles,DST,1,PHI,205.0,97.0,1.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.797,0.568
Cam Little,K,1,JAX,217.0,104.0,1.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.857,0.666
Minnesota Vikings,DST,1,MIN,206.0,96.8,1.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.802,0.578
Chris Boswell,K,1,PIT,218.0,103.8,1.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.859,0.679
Jacksonville Jaguars,DST,1,JAX,207.0,96.5,1.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.795,0.576
Eddy Pineiro,K,1,SF,219.0,103.5,1.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.865,0.691
New England Patriots,DST,1,NE,208.0,96.2,0.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.809,0.595
Harrison Butker,K,1,KC,220.0,103.2,0.9,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.864,0.684
Baltimore Ravens,DST,2,BAL,209.0,96.0,0.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.811,0.601
Chase McLaughlin,K,2,TB,221.0,103.0,0.6,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.873,0.685
Pittsburgh Steelers,DST,2,PIT,210.0,95.8,0.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.810,0.611
Evan McPherson,K,2,CIN,222.0,102.8,0.4,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.878,0.702
Los Angeles Chargers,DST,2,LAC,211.0,95.5,0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.821,0.615
Harrison Mevis,K,2,LAR,223.0,102.5,0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.879,0.712
Isaiah Likely,TE,4,NYG,115.0,95.5,0.0,1.000,1.000,1.000,0.999,0.996,0.987,0.964,0.903,0.781,0.588,0.405,0.203,0.101,0.028,0.015,0.003
Dallas Goedert,TE,4,PHI,117.0,95.5,0.0,1.000,1.000,1.000,1.000,0.997,0.986,0.966,0.914,0.798,0.617,0.434,0.233,0.114,0.035,0.016,0.005
Mark Andrews,TE,4,BAL,118.0,95.5,0.0,1.000,1.000,1.000,1.000,0.998,0.991,0.967,0.916,0.806,0.634,0.466,0.244,0.123,0.036,0.021,0.008
George Kittle,TE,4,SF,120.0,95.5,0.0,1.000,1.000,1.000,1.000,0.999,0.992,0.975,0.932,0.827,0.661,0.499,0.277,0.149,0.048,0.026,0.007
T.J. Hockenson,TE,4,MIN,127.0,95.5,0.0,1.000,1.000,1.000,1.000,0.999,0.994,0.980,0.949,0.883,0.752,0.604,0.394,0.242,0.096,0.055,0.020
Cleveland Browns,DST,2,CLE,212.0,95.2,-0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.825,0.625
Jake Bates,K,2,DET,224.0,102.2,-0.1,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.889,0.719
Bhayshul Tuten,RB,16,JAX,82.0,136.5,-0.9,0.000,0.997,0.999,0.994,0.970,0.864,0.659,0.396,0.176,0.025,0.001,0.000,0.000,0.000,0.000,0.000
Marvin Harrison Jr.,WR,16,ARI,74.0,148.5,-2.6,0.000,0.671,0.999,0.988,0.942,0.749,0.461,0.191,0.056,0.007,0.000,0.000,0.000,0.000,0.000,0.000
Jaxson Dart,QB,4,NYG,85.0,278.0,-3.5,1.000,1.000,1.000,0.996,0.982,0.927,0.839,0.461,0.239,0.062,0.011,0.002,0.000,0.000,0.000,0.000
Juwan Johnson,TE,5,NO,141.0,92.0,-3.5,1.000,1.000,1.000,1.000,0.999,0.997,0.992,0.975,0.941,0.867,0.770,0.600,0.446,0.248,0.167,0.075
Chig Okonkwo,TE,5,WAS,145.0,92.0,-3.5,1.000,1.000,1.000,1.000,0.999,0.998,0.994,0.983,0.949,0.884,0.795,0.643,0.498,0.288,0.206,0.103
Hunter Henry,TE,5,NE,150.0,92.0,-3.5,1.000,1.000,1.000,1.000,1.000,0.998,0.996,0.986,0.963,0.913,0.847,0.704,0.582,0.375,0.281,0.153
Carnell Tate,WR,17,TEN,80.0,145.0,-6.1,0.000,0.217,0.993,0.992,0.962,0.841,0.619,0.341,0.150,0.031,0.003,0.000,0.000,0.000,0.000,0.000
Kyler Murray,QB,4,MIN,88.0,274.5,-7.0,1.000,1.000,1.000,0.996,0.981,0.934,0.849,0.519,0.295,0.088,0.018,0.005,0.001,0.000,0.000,0.000
AJ Barner,TE,6,SEA,161.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,1.000,0.996,0.991,0.979,0.945,0.899,0.805,0.710,0.530,0.428,0.276
Brenton Strange,TE,6,JAX,164.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.992,0.982,0.954,0.907,0.815,0.718,0.540,0.452,0.307
Oronde Gadsden II,TE,6,LAC,166.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,0.999,0.997,0.991,0.978,0.952,0.909,0.832,0.741,0.578,0.490,0.342
Kenyon Sadiq,TE,6,NYJ,173.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,1.000,0.999,0.995,0.988,0.965,0.939,0.875,0.795,0.651,0.566,0.417
Greg Dulcich,TE,6,MIA,176.0,88.5,-7.0,1.000,1.000,1.000,1.000,1.000,1.000,0.998,0.996,0.987,0.973,0.949,0.884,0.821,0.671,0.594,0.448
RJ Harvey,RB,17,DEN,92.0,129.5,-7.9,0.000,0.990,1.000,0.998,0.987,0.934,0.820,0.622,0.393,0.156,0.031,0.001,0.000,0.000,0.000,0.000
Jordyn Tyson,WR,18,NO,83.0,141.5,-9.6,0.000,0.018,0.936,0.995,0.970,0.867,0.668,0.414,0.202,0.055,0.006,0.000,0.000,0.000,0.000,0.000
Patrick Mahomes,QB,4,KC,93.0,271.0,-10.5,1.000,1.000,1.000,0.998,0.989,0.954,0.899,0.639,0.421,0.174,0.047,0.013,0.003,0.001,0.000,0.000
Rico Dowdle,RB,18,PIT,96.0,126.0,-11.4,0.000,0.904,1.000,0.998,0.993,0.954,0.864,0.700,0.483,0.239,0.053,0.002,0.000,0.000,0.000,0.000
DK Metcalf,WR,19,PIT,84.0,138.0,-13.1,0.000,0.002,0.828,0.996,0.976,0.880,0.698,0.447,0.231,0.069,0.013,0.000,0.000,0.000,0.000,0.000
Dalton Schultz,TE,7,HOU,186.0,81.8,-13.8,0.000,0.285,0.992,1.000,1.000,1.000,1.000,0.998,0.994,0.981,0.963,0.923,0.876,0.771,0.705,0.569
Matthew Stafford,QB,5,LAR,97.0,267.5,-14.0,1.000,1.000,1.000,0.999,0.992,0.969,0.925,0.708,0.506,0.262,0.086,0.029,0.007,0.003,0.002,0.001
Malik Willis,QB,5,MIA,104.0,267.5,-14.0,1.000,1.000,1.000,0.999,0.996,0.980,0.950,0.787,0.620,0.390,0.186,0.081,0.030,0.014,0.007,0.006
Terrance Ferguson,TE,7,LAR,188.0,81.2,-14.2,0.000,0.020,0.795,1.000,1.000,1.000,1.000,0.997,0.992,0.983,0.968,0.927,0.878,0.773,0.706,0.581
Blake Corum,RB,19,LAR,99.0,122.5,-14.9,0.000,0.736,1.000,1.000,0.994,0.961,0.876,0.731,0.525,0.283,0.096,0.006,0.000,0.000,0.000,0.000
J.K. Dobbins,RB,19,DEN,100.0,122.5,-14.9,0.000,0.413,1.000,0.998,0.992,0.968,0.891,0.748,0.563,0.308,0.123,0.010,0.000,0.000,0.000,0.000
Alec Pierce,WR,20,IND,86.0,134.5,-16.6,0.000,0.000,0.565,0.996,0.979,0.895,0.728,0.478,0.262,0.085,0.021,0.001,0.000,0.000,0.000,0.000
Parker Washington,WR,20,JAX,87.0,134.5,-16.6,0.000,0.000,0.322,0.994,0.978,0.904,0.742,0.496,0.277,0.102,0.028,0.003,0.000,0.000,0.000,0.000
Michael Wilson,WR,20,ARI,89.0,134.5,-16.6,0.000,0.000,0.135,0.996,0.984,0.922,0.784,0.566,0.336,0.125,0.045,0.003,0.000,0.000,0.000,0.000
Courtland Sutton,WR,20,DEN,90.0,134.5,-16.6,0.000,0.000,0.043,0.983,0.984,0.926,0.793,0.567,0.342,0.135,0.047,0.003,0.000,0.000,0.000,0.000
Colby Parkinson,TE,8,LAR,199.0,78.5,-17.0,0.000,0.000,0.038,0.412,0.922,0.999,1.000,0.999,0.995,0.985,0.973,0.947,0.913,0.842,0.794,0.697
Baker Mayfield,QB,6,TB,107.0,264.0,-17.5,1.000,1.000,1.000,0.999,0.996,0.984,0.954,0.827,0.685,0.457,0.244,0.122,0.045,0.022,0.009,0.009
Kenneth Gainwell,RB,20,TB,109.0,119.0,-18.4,0.000,0.146,0.997,1.000,0.996,0.978,0.940,0.850,0.712,0.490,0.264,0.046,0.002,0.000,0.000,0.000
Rachaad White,RB,20,WAS,110.0,119.0,-18.4,0.000,0.012,0.953,0.999,0.996,0.983,0.946,0.860,0.735,0.502,0.293,0.071,0.003,0.000,0.000,0.000
Quentin Johnston,WR,21,LAC,91.0,131.0,-20.1,0.000,0.000,0.006,0.947,0.987,0.932,0.807,0.599,0.373,0.157,0.060,0.010,0.001,0.000,0.000,0.000
Jayden Reed,WR,21,GB,94.0,131.0,-20.1,0.000,0.000,0.000,0.827,0.986,0.947,0.846,0.664,0.467,0.223,0.088,0.018,0.001,0.000,0.000,0.000
Jordan Addison,WR,21,MIN,95.0,131.0,-20.1,0.000,0.000,0.000,0.620,0.989,0.953,0.861,0.670,0.460,0.224,0.094,0.019,0.005,0.000,0.000,0.000
