name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Jahmyr Gibbs,RB,1,DET,1.0,332.5,195.1,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bijan Robinson,RB,1,ATL,2.0,325.5,188.1,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ja’Marr Chase,WR,1,CIN,3.0,316.5,165.4,0.149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Christian McCaffrey,RB,2,SF,5.0,287.0,149.6,0.408,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Puka Nacua,WR,2,LAR,4.0,299.0,147.9,0.261,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jonathan Taylor,RB,2,IND,8.0,276.5,139.1,0.856,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jaxon Smith-Njigba,WR,2,SEA,6.0,288.5,137.4,0.604,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amon-Ra St. Brown,WR,2,DET,7.0,285.0,133.9,0.748,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saquon Barkley,RB,2,PHI,9.0,269.5,132.1,0.918,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
James Cook III,RB,2,BUF,10.0,266.0,128.6,0.969,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ashton Jeanty,RB,2,LV,11.0,259.0,121.6,0.988,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brock Bowers,TE,1,LV,20.0,207.5,112.0,1.000,0.715,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Derrick Henry,RB,3,BAL,14.0,248.5,111.1,0.999,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Justin Jefferson,WR,3,MIN,12.0,260.5,109.4,0.993,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CeeDee Lamb,WR,3,DAL,13.0,257.0,105.9,0.997,0.040,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Omarion Hampton,RB,3,LAC,15.0,241.5,104.1,0.998,0.180,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
