name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Rachaad White,RB,20,WAS,110.0,119.0,-18.4,0.000,0.048,0.930,1.000,0.998,0.982,0.954,0.854,0.742,0.491,0.316,0.072,0.006,0.001,0.000,0.000
Quentin Johnston,WR,21,LAC,91.0,131.0,-20.1,0.000,0.000,0.001,0.950,0.983,0.923,0.823,0.569,0.385,0.131,0.060,0.007,0.001,0.000,0.000,0.000
Jayden Reed,WR,21,GB,94.0,131.0,-20.1,0.000,0.000,0.000,0.861,0.990,0.939,0.856,0.639,0.460,0.195,0.102,0.014,0.002,0.000,0.000,0.000
Jordan Addison,WR,21,MIN,95.0,131.0,-20.1,0.000,0.000,0.000,0.687,0.992,0.949,0.861,0.654,0.482,0.210,0.101,0.017,0.003,0.000,0.000,0.000
Jared Goff,QB,7,DET,114.0,260.5,-21.0,1.000,1.000,1.000,1.000,0.998,0.989,0.977,0.882,0.797,0.580,0.405,0.215,0.108,0.052,0.031,0.026
Jordan Love,QB,7,GB,116.0,260.5,-21.0,1.000,1.000,1.000,0.999,0.997,0.988,0.977,0.881,0.804,0.603,0.450,0.243,0.120,0.067,0.040,0.034
Tyler Shough,QB,7,NO,121.0,260.5,-21.0,1.000,1.000,1.000,1.000,0.999,0.994,0.987,0.915,0.850,0.676,0.546,0.335,0.202,0.108,0.062,0.055
Kyle Monangai,RB,21,CHI,113.0,115.5,-21.9,0.000,0.000,0.263,0.981,0.997,0.987,0.961,0.874,0.793,0.546,0.383,0.118,0.013,0.001,0.000,0.000
Aaron Jones Sr.,RB,21,MIN,119.0,115.5,-21.9,0.000,0.000,0.048,0.928,0.998,0.986,0.966,0.900,0.826,0.625,0.483,0.199,0.038,0.004,0.002,0.000
Tyrone Tracy Jr.,RB,21,NYG,122.0,115.5,-21.9,0.000,0.000,0.003,0.715,0.999,0.988,0.975,0.926,0.859,0.673,0.528,0.262,0.065,0.004,0.001,0.000
Jonathon Brooks,RB,21,CAR,124.0,115.5,-21.9,0.000,0.000,0.000,0.478,0.988,0.992,0.976,0.928,0.873,0.712,0.574,0.315,0.101,0.012,0.006,0.001
Jordan Mason,RB,21,MIN,125.0,115.5,-21.9,0.000,0.000,0.000,0.272,0.943,0.992,0.980,0.933,0.879,0.720,0.588,0.327,0.135,0.017,0.008,0.000
Jacory Croskey-Merritt,RB,21,WAS,126.0,115.5,-21.9,0.000,0.000,0.000,0.075,0.761,0.992,0.979,0.936,0.891,0.730,0.602,0.349,0.169,0.024,0.010,0.001
Keaton Mitchell,RB,21,LAC,128.0,115.5,-21.9,0.000,0.000,0.000,0.011,0.424,0.984,0.983,0.943,0.898,0.754,0.630,0.377,0.202,0.038,0.016,0.002
Josh Downs,WR,22,IND,98.0,127.5,-23.6,0.000,0.000,0.000,0.377,0.987,0.951,0.886,0.698,0.535,0.255,0.136,0.031,0.010,0.000,0.000,0.000
Michael Pittman Jr.,WR,22,PIT,102.0,127.5,-23.6,0.000,0.000,0.000,0.166,0.950,0.966,0.918,0.757,0.618,0.328,0.202,0.059,0.020,0.002,0.000,0.000
Makai Lemon,WR,22,PHI,103.0,127.5,-23.6,0.000,0.000,0.000,0.046,0.837,0.964,0.914,0.774,0.646,0.371,0.232,0.067,0.028,0.001,0.000,0.000
C.J. Stroud,QB,8,HOU,149.0,257.0,-24.5,1.000,1.000,1.000,1.000,1.000,0.998,0.997,0.981,0.966,0.910,0.851,0.739,0.614,0.488,0.389,0.356
Sam Darnold,QB,8,SEA,152.0,257.0,-24.5,1.000,1.000,1.000,1.000,1.000,0.999,0.997,0.983,0.971,0.924,0.874,0.762,0.639,0.528,0.430,0.403
Tyler Allgeier,RB,22,ARI,133.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.130,0.902,0.988,0.955,0.914,0.803,0.693,0.454,0.287,0.074,0.030,0.005
Woody Marks,RB,22,HOU,134.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.024,0.683,0.990,0.966,0.928,0.816,0.707,0.474,0.316,0.085,0.038,0.004
Alvin Kamara,RB,22,NO,135.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.003,0.426,0.990,0.966,0.932,0.821,0.726,0.497,0.338,0.097,0.038,0.004
Chris Rodriguez Jr.,RB,22,JAX,136.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.226,0.971,0.965,0.932,0.823,0.722,0.495,0.338,0.110,0.051,0.005
Dylan Sampson,RB,22,CLE,139.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.101,0.917,0.968,0.940,0.844,0.757,0.547,0.390,0.142,0.065,0.009
Isiah Pacheco,RB,22,DET,142.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.037,0.756,0.970,0.948,0.872,0.788,0.595,0.437,0.174,0.086,0.015
Jonah Coleman,RB,22,DEN,148.0,112.0,-25.4,0.000,0.000,0.000,0.000,0.000,0.011,0.550,0.980,0.966,0.901,0.831,0.663,0.528,0.247,0.139,0.034
Wan’Dale Robinson,WR,23,TEN,108.0,124.0,-27.1,0.000,0.000,0.000,0.009,0.619,0.975,0.942,0.834,0.712,0.446,0.294,0.113,0.052,0.003,0.000,0.000
Jakobi Meyers,WR,23,JAX,111.0,124.0,-27.1,0.000,0.000,0.000,0.002,0.367,0.977,0.953,0.857,0.760,0.520,0.373,0.159,0.085,0.007,0.000,0.000
Chris Godwin Jr.,WR,23,TB,112.0,124.0,-27.1,0.000,0.000,0.000,0.000,0.166,0.963,0.958,0.868,0.770,0.536,0.393,0.161,0.085,0.008,0.000,0.000
Daniel Jones,QB,9,IND,159.0,253.5,-28.0,1.000,1.000,1.000,1.000,1.000,0.999,0.997,0.988,0.975,0.942,0.901,0.817,0.716,0.609,0.523,0.494
Bryce Young,QB,9,CAR,171.0,253.5,-28.0,0.000,0.100,0.679,1.000,0.999,0.999,0.998,0.992,0.985,0.966,0.945,0.891,0.824,0.746,0.679,0.654
Cam Ward,QB,9,TEN,172.0,253.5,-28.0,0.000,0.001,0.123,0.924,1.000,0.999,0.999,0.991,0.987,0.959,0.939,0.885,0.817,0.748,0.676,0.655
Tyjae Spears,RB,23,TEN,155.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.003,0.314,0.959,0.975,0.925,0.874,0.739,0.611,0.345,0.221,0.053
Brian Robinson Jr.,RB,23,ATL,156.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.001,0.136,0.879,0.974,0.926,0.877,0.744,0.623,0.348,0.238,0.066
James Conner,RB,23,ARI,157.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.043,0.733,0.975,0.933,0.888,0.760,0.634,0.352,0.245,0.073
Tank Bigsby,RB,23,PHI,158.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.502,0.961,0.937,0.894,0.762,0.636,0.359,0.254,0.078
Zach Charbonnet,RB,23,SEA,160.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.263,0.886,0.938,0.891,0.782,0.666,0.401,0.287,0.088
Braelon Allen,RB,23,NYJ,165.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.099,0.704,0.937,0.923,0.820,0.720,0.454,0.346,0.126
Ray Davis,RB,23,BUF,168.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.436,0.884,0.916,0.822,0.727,0.495,0.395,0.157
Mike Washington Jr.,RB,23,LV,174.0,108.5,-28.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.207,0.771,0.943,0.865,0.781,0.558,0.453,0.199
Matthew Golden,WR,24,GB,123.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.057,0.917,0.977,0.929,0.871,0.689,0.562,0.314,0.211,0.051,0.012,0.004
Khalil Shakir,WR,24,BUF,129.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.010,0.812,0.984,0.944,0.901,0.758,0.641,0.406,0.281,0.089,0.022,0.010
Romeo Doubs,WR,24,NE,130.0,120.5,-30.6,0.000,0.000,0.000,0.000,0.001,0.639,0.986,0.950,0.910,0.772,0.663,0.425,0.307,0.105,0.031,0.013
Kaytron Allen,RB,24,WAS,177.0,104.0,-33.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.075,0.595,0.945,0.884,0.812,0.594,0.491,0.228
Emmett Johnson,RB,24,KC,178.0,103.8,-33.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.368,0.922,0.879,0.802,0.596,0.501,0.237
Nicholas Singleton,RB,24,TEN,179.0,103.5,-33.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.192,0.868,0.876,0.808,0.606,0.511,0.253
Xavier Worthy,WR,25,KC,131.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.463,0.985,0.954,0.908,0.782,0.677,0.449,0.326,0.119,0.045,0.021
Jayden Higgins,WR,25,HOU,132.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.309,0.964,0.954,0.913,0.786,0.683,0.464,0.345,0.142,0.054,0.026
De’Zhaun Stribling,WR,25,SF,137.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.153,0.897,0.959,0.929,0.825,0.745,0.529,0.412,0.192,0.084,0.043
Jalen Coker,WR,25,CAR,138.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.051,0.748,0.962,0.935,0.836,0.748,0.543,0.432,0.202,0.105,0.056
KC Concepcion,WR,25,CLE,140.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.010,0.493,0.949,0.939,0.843,0.767,0.576,0.459,0.231,0.129,0.073
Rashid Shaheed,WR,25,SEA,143.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.002,0.237,0.912,0.948,0.875,0.800,0.615,0.499,0.268,0.170,0.102
Deebo Samuel Sr.,WR,25,SF,144.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.001,0.086,0.794,0.951,0.879,0.806,0.640,0.528,0.300,0.203,0.118
Jalen Nailor,WR,25,LV,146.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.590,0.953,0.884,0.823,0.656,0.547,0.316,0.233,0.148
Jauan Jennings,WR,26,MIN,147.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.357,0.949,0.897,0.836,0.660,0.561,0.329,0.248,0.156
Jalen McMillan,WR,26,TB,151.0,117.0,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.185,0.904,0.909,0.861,0.718,0.620,0.393,0.320,0.204
Sean Tucker,RB,24,TB,180.0,103.2,-34.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.081,0.754,0.883,0.822,0.615,0.518,0.267
Emanuel Wilson,RB,24,SEA,183.0,102.5,-34.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.029,0.585,0.881,0.829,0.646,0.553,0.297
Geno Smith,QB,10,NYJ,193.0,245.0,-36.5,0.000,0.000,0.010,0.771,0.998,1.000,1.000,0.999,0.996,0.985,0.975,0.945,0.914,0.874,0.833,0.817
Aaron Rodgers,QB,10,PIT,195.0,244.5,-37.0,0.000,0.000,0.000,0.432,0.945,0.999,0.999,0.997,0.994,0.985,0.973,0.947,0.913,0.875,0.836,0.827
Jacoby Brissett,QB,10,ARI,196.0,244.2,-37.2,0.000,0.000,0.000,0.090,0.645,0.990,0.999,0.997,0.993,0.983,0.970,0.951,0.921,0.878,0.840,0.829
Stefon Diggs,WR,27,,153.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.075,0.803,0.908,0.855,0.709,0.620,0.406,0.340,0.226
Travis Hunter,WR,27,JAX,154.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.025,0.631,0.918,0.874,0.732,0.638,0.432,0.362,0.248
Denzel Boston,WR,27,CLE,162.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.425,0.920,0.911,0.807,0.727,0.532,0.469,0.341
Kayshon Boutte,WR,27,NE,163.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.238,0.879,0.919,0.817,0.740,0.544,0.478,0.362
Omar Cooper Jr.,WR,27,NYJ,167.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.107,0.784,0.926,0.846,0.770,0.590,0.534,0.409
Antonio Williams,WR,27,WAS,169.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.038,0.637,0.927,0.843,0.779,0.617,0.560,0.426
Adonai Mitchell,WR,27,NYJ,170.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.466,0.929,0.856,0.793,0.632,0.574,0.446
Tre Tucker,WR,27,LV,175.0,113.5,-37.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.303,0.921,0.879,0.825,0.668,0.618,0.498
Kimani Vidal,RB,25,LAC,198.0,98.8,-38.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.009,0.386,0.901,0.904,0.775,0.699,0.449
Demond Claiborne,RB,25,MIN,200.0,98.2,-39.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.206,0.839,0.900,0.779,0.719,0.479
Isaac TeSlaa,WR,28,DET,181.0,108.0,-43.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.172,0.876,0.900,0.855,0.715,0.668,0.561
Malik Washington,WR,28,MIA,182.0,107.8,-43.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.086,0.770,0.895,0.856,0.728,0.675,0.572
Calvin Ridley,WR,28,TEN,184.0,107.2,-43.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.035,0.604,0.898,0.867,0.732,0.686,0.589
Jaylin Noel,WR,28,HOU,185.0,107.0,-44.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.014,0.396,0.872,0.880,0.760,0.718,0.622
Jerry Jeudy,WR,28,CLE,187.0,106.5,-44.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.213,0.788,0.877,0.769,0.721,0.629
Rashod Bateman,WR,28,BAL,189.0,106.0,-45.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.099,0.683,0.887,0.777,0.736,0.650
Darnell Mooney,WR,28,NYG,190.0,105.8,-45.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.035,0.505,0.892,0.791,0.744,0.648
Ryan Flournoy,WR,28,DAL,191.0,105.5,-45.6,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.011,0.325,0.881,0.800,0.763,0.673
Tre Harris,WR,29,LAC,192.0,105.2,-45.9,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.180,0.840,0.802,0.761,0.667
Tank Dell,WR,29,HOU,194.0,104.8,-46.4,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.090,0.752,0.817,0.784,0.691
Zachariah Branch,WR,29,ATL,197.0,104.0,-47.1,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.618,0.826,0.797,0.721
