Round 1
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
4,Nigel,Jonathon Brooks RB | CAR ,1 min 8 sec,#35 RB,151.5327
5,Hash,Marvin Harrison Jr. WR | ARI ,60 sec,#29 WR,170.4079
6,Tolga,Caleb Williams QB | CHI ,49 sec,#8 QB,392.6407
7,KGB,Rome Odunze WR | CHI ,41 sec,#30 WR,170.0439
8,David,Jonah Coleman RB | DEN ,5 sec,#83 RB,21.8051
9,Win95,Trevor Lawrence QB | JAC ,24 sec,#4 QB,396.3312
10,Cenk,Dak Prescott QB | DAL ,44 sec,#2 QB,408.9816
11,Sujay,TreVeyon Henderson RB | NE ,41 sec,#32 RB,164.023457
12,Sly,Justin Herbert QB | LAC,30 sec,#14 QB,376.6804
Round 8
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,DK Metcalf WR | PIT ,1 min 42 sec,#35 WR,161.7755
2,Sujay,George Kittle TE | SF ,11 sec,#5 TE,182.24
3,Cenk,Jacory Croskey-Merritt RB | WAS ,1 min 24 sec,#39 RB,140.70273
4,Win95,Titans DST | TEN ,36 sec,#31 DST,-189.35
5,David,Travis Kelce TE | KC,17 sec,#12 TE,156.2656
6,KGB,Chris Godwin WR | TB ,1 min 18 sec,#37 WR,157.6767
7,Tolga,Blake Corum RB | LAR ,12 sec,#41 RB,129.301791
8,Hash,Jordan Addison WR | MIN ,7 sec,#39 WR,147.4935
9,Nigel,Bo Nix QB | DEN ,1 min 7 sec,#18 QB,353.6693
10,Kenan,Mike Washington Jr. RB | LV ,13 sec,#42 RB,121.1381
11,TheOhZone,Isaiah Likely TE | NYG ,28 sec,#10 TE,158.3959
12,Keung ,Rams DST | LAR ,1 min 51 sec,#5 DST,-88.4
Round 9
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,RJ Harvey RB | DEN ,8 sec,#31 RB,165.6335
2,TheOhZone,Texans DST | HOU ,19 sec,#3 DST,-73.55
3,Kenan,Steelers DST | PIT ,1 min 43 sec,#8 DST,-106.4
4,Nigel,Harold Fannin Jr. TE | CLE,15 sec,#4 TE,189.1685
5,Hash,Seahawks DST | SEA ,52 sec,#1 DST,-69.1
6,Tolga,Kyle Monangai RB | CHI ,15 sec,#37 RB,144.906966
7,KGB,Carnell Tate WR | TEN ,44 sec,#61 WR,125.329
8,David,Cowboys DST | DAL ,12 sec,#29 DST,-180.65
9,Win95,Broncos DST | DEN ,30 sec,#2 DST,-73.5
10,Cenk,Jaxson Dart QB | NYG ,1 min 20 sec,#20 QB,351.1188
11,Sujay,Vikings DST | MIN ,11 sec,#6 DST,-91.85
12,Sly,Eagles DST | PHI ,57 sec,#4 DST,-83.4
Round 10
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,Rachaad White RB | WAS ,1 min 8 sec,#40 RB,137.5285
2,Sujay,Matthew Stafford QB | LAR ,15 sec,#13 QB,379.3529
3,Cenk,Jaguars DST | JAC ,2 min 6 sec,#14 DST,-124.55
4,Win95,Dallas Goedert TE | PHI ,17 sec,#6 TE,178.4342
5,David,Chiefs DST | KC ,15 sec,#12 DST,-118.6
6,KGB,Chris Rodriguez Jr. RB | JAC ,57 sec,#45 RB,117.300618
7,Tolga,Ravens DST | BAL ,6 sec,#7 DST,-104.2
8,Hash,Chuba Hubbard RB | CAR ,7 sec,#33 RB,163.9894
9,Nigel,Quentin Johnston WR | LAC,1 min 4 sec,#36 WR,160.1562
10,Kenan,Emmett Johnson RB | KC ,14 sec,#86 RB,21.3051
11,TheOhZone,Juwan Johnson TE | NO ,47 sec,#16 TE,142.8179
12,Keung ,De'Zhaun Stribling WR | SF ,49 sec,#46 WR,141.3392
Round 11
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,Michael Wilson WR | ARI ,2 sec,#38 WR,153.177
2,TheOhZone,KC Concepcion WR | CLE ,30 sec,#51 WR,136.6314
3,Kenan,Jayden Reed WR | GB ,1 min 17 sec,#44 WR,143.0587
4,Nigel,Chargers DST | LAC ,13 sec,#10 DST,-115.4
5,Hash,Courtland Sutton WR | DEN ,28 sec,#32 WR,167.3115
6,Tolga,Jared Goff QB | DET ,38 sec,#12 QB,382.5703
7,KGB,Patrick Mahomes QB | KC ,23 sec,#11 QB,384.8143
8,David,Jason Myers K | SEA,13 sec,#1 K,167
9,Win95,Jake Ferguson TE | DAL ,35 sec,#17 TE,140.3172
10,Cenk,Woody Marks RB | HOU ,40 sec,#44 RB,117.6822
11,Sujay,Dalton Kincaid TE | BUF,1 min 4 sec,#14 TE,148.2073
12,Sly,Jordan James RB | SF,1 min 16 sec,#48 RB,109.4384
Round 12
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,Alec Pierce WR | IND ,55 sec,#21 WR,188.5634
2,Sujay,Stefon Diggs WR | WAS ,1 min 10 sec,#54 WR,133.6311
3,Cenk,Deebo Samuel WR | SF,59 sec,#45 WR,141.6512
4,Win95,Patriots DST | NE ,33 sec,#9 DST,-108.7
5,David,Fernando Mendoza QB | LV ,10 sec,#32 QB,218.0909
6,KGB,Kyler Murray QB | MIN ,1 min 2 sec,#24 QB,348.3798
7,Tolga,Packers DST | GB ,5 sec,#11 DST,-117.75
8,Hash,Jordan Love QB | GB ,14 sec,#21 QB,350.8679
9,Nigel,Brock Purdy QB | SF,7 sec,#10 QB,386.5805
10,Kenan,**Baker Mayfield QB | TB ,1 min 31 sec,#15 QB,371.3158
11,TheOhZone,Tyler Shough QB | NO ,2 min 44 sec,#22 QB,350.7718
12,Keung ,Josh Jacobs RB | GB ,8 sec,#46 RB,114.5171
Round 13
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,Sam Darnold QB | SEA ,59 sec,#17 QB,358.348
2,TheOhZone,Tank Bigsby RB | PHI ,16 sec,#50 RB,98.501092
3,Kenan,Xavier Worthy WR | KC,50 sec,#52 WR,134.8113
4,Nigel,Aaron Jones RB | MIN ,47 sec,#38 RB,142.2468
5,Hash,Zach Charbonnet RB | SEA ,11 sec,#53 RB,93.506771
6,Tolga,Brandon Aubrey K | DAL,9 sec,#4 K,150
7,KGB,Buccaneers DST | TB ,1 min 34 sec,#21 DST,-142.55
8,David,Bears DST | CHI ,17 sec,#15 DST,-126.95
9,Win95,Christopher Brooks RB | GB ,16 sec,#63 RB,78.00402
10,Cenk,Daniel Jones QB | IND ,44 sec,#16 QB,359.1314
11,Sujay,Tyler Allgeier RB | ARI ,6 sec,#58 RB,87.304665
12,Sly,Dylan Sampson RB | CLE ,30 sec,#47 RB,110.9954
Round 14
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,Lions DST | DET ,36 sec,#13 DST,-121.25
2,Sujay,Michael Pittman WR | PIT ,1 min 27 sec,#47 WR,140.9842
3,Cenk,49ers DST | SF ,13 sec,#20 DST,-140.85
4,Win95,Ray Davis RB | BUF,10 sec,#98 RB,18.6093
5,David,**Makai Lemon WR | PHI ,0 sec,#64 WR,120.9269
6,KGB,Giants DST | NYG ,43 sec,#28 DST,-171.7
7,Tolga,Mark Andrews TE | BAL ,44 sec,#11 TE,157.9865
8,Hash,Ka'imi Fairbairn K | HOU,11 sec,#2 K,157
9,Nigel,Dalton Schultz TE | HOU ,4 sec,#19 TE,127.62
10,Kenan,Romeo Doubs WR | NE,29 sec,#40 WR,146.5839
11,TheOhZone,Bills DST | BUF ,9 sec,#16 DST,-127.25
12,Keung ,Cameron Dicker K | LAC ,13 sec,#7 K,143
Round 15
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,Isiah Pacheco RB | DET ,31 sec,#61 RB,80.1291
2,TheOhZone,Cam Little K | JAC,37 sec,#12 K,136
3,Kenan,Evan McPherson K | CIN,13 sec,#14 K,134
4,Nigel,Jalen Coker WR | CAR ,1 min 11 sec,#48 WR,140.1818
5,Hash,Matthew Golden WR | GB ,4 sec,#56 WR,130.4245
6,Tolga,Jakobi Meyers WR | JAC ,52 sec,#43 WR,144.2521
