name,pos,team,bye,adp,av,sos,pos_rank
Kayshon Boutte,WR,NE,11,163,1,107,WR64
Brenton Strange,TE,JAX,7,164,1,95,TE21
Braelon Allen,RB,NYJ,13,165,1,14,RB56
Oronde Gadsden II,TE,LAC,7,166,1,106,TE22
Omar Cooper Jr.,WR,NYJ,13,167,1,,WR65
Ray Davis,RB,BUF,7,168,1,,RB57
Antonio Williams,WR,WAS,7,169,1,,WR66
Adonai Mitchell,WR,NYJ,13,170,1,71,WR67
Bryce Young,QB,CAR,5,171,1,218,QB25
Cam Ward,QB,TEN,9,172,1,187,QB26
Kenyon Sadiq,TE,NYJ,13,173,1,,TE23
Mike Washington Jr.,RB,LV,13,174,1,,RB58
Tre Tucker,WR,LV,13,175,1,133,WR68
Greg Dulcich,TE,MIA,6,176,1,50,TE24
Kaytron Allen,RB,WAS,7,177,0,,RB59
Emmett Johnson,RB,KC,5,178,0,,RB60
Nicholas Singleton,RB,TEN,9,179,0,,RB61
Sean Tucker,RB,TB,10,180,0,87,RB62
Isaac TeSlaa,WR,DET,6,181,0,68,WR69
Malik Washington,WR,MIA,6,182,0,94,WR70
Emanuel Wilson,RB,SEA,11,183,0,87,RB63
Calvin Ridley,WR,TEN,9,184,0,38,WR71
Jaylin Noel,WR,HOU,8,185,0,55,WR72
Dalton Schultz,TE,HOU,8,186,0,137,TE25
Jerry Jeudy,WR,CLE,11,187,0,96,WR73
Terrance Ferguson,TE,LAR,11,188,0,46,TE26
Rashod Bateman,WR,BAL,13,189,0,45,WR74
Darnell Mooney,WR,NYG,8,190,0,66,WR75
Ryan Flournoy,WR,DAL,14,191,0,94,WR76
Tre Harris,WR,LAC,7,192,0,54,WR77
Geno Smith,QB,NYJ,13,193,0,174,QB27
Tank Dell,WR,HOU,8,194,0,,WR78
Aaron Rodgers,QB,PIT,9,195,0,226,QB28
Jacoby Brissett,QB,ARI,14,196,0,227,QB29
Zachariah Branch,WR,ATL,11,197,0,,WR79
Kimani Vidal,RB,LAC,7,198,0,110,RB64
Colby Parkinson,TE,LAR,11,199,0,108,TE27
Demond Claiborne,RB,MIN,6,200,0,,RB65
Seattle Seahawks,DST,SEA,11,201,0,,DEF1
Houston Texans,DST,HOU,8,202,0,,DEF2
Denver Broncos,DST,DEN,10,203,0,,DEF3
Los Angeles Rams,DST,LAR,11,204,0,,DEF4
Philadelphia Eagles,DST,PHI,10,205,0,,DEF5
Minnesota Vikings,DST,MIN,6,206,0,,DEF6
Jacksonville Jaguars,DST,JAX,7,207,0,,DEF7
New England Patriots,DST,NE,11,208,0,,DEF8
Baltimore Ravens,DST,BAL,13,209,0,,DEF9
Pittsburgh Steelers,DST,PIT,9,210,0,,DEF10
Los Angeles Chargers,DST,LAC,7,211,0,,DEF11
Cleveland Browns,DST,CLE,11,212,0,,DEF12
Brandon Aubrey,K,DAL,14,213,0,,K1
Ka’imi Fairbairn,K,HOU,8,214,0,,K2
Cameron Dicker,K,LAC,7,215,0,,K3
Jason Myers,K,SEA,11,216,0,,K4
Cam Little,K,JAX,7,217,0,,K5
Chris Boswell,K,PIT,9,218,0,,K6
Eddy Pineiro,K,SF,8,219,0,,K7
Harrison Butker,K,KC,5,220,0,,K8
Chase McLaughlin,K,TB,10,221,0,,K9
Evan McPherson,K,CIN,6,222,0,,K10
Harrison Mevis,K,LAR,11,223,0,,K11
Jake Bates,K,DET,6,224,0,,K12
